Product line,Total
Electronic accessories,860.685
Sports and travel,34.629
Health and beauty,309.3615
Fashion accessories,535.374
Home and lifestyle,548.7615
Home and lifestyle,763.4655
Fashion accessories,85.113
Fashion accessories,115.185
Fashion accessories,53.928
Food and beverages,115.08
Home and lifestyle,112.224
Electronic accessories,836.304
Sports and travel,419.832
Sports and travel,944.622
Home and lifestyle,536.844
Fashion accessories,474.348
Home and lifestyle,688.6215
Sports and travel,169.3125
Fashion accessories,299.8485
Food and beverages,575.736
Sports and travel,853.146
Fashion accessories,291.207
Sports and travel,580.419
Sports and travel,146.328
Electronic accessories,550.935
Health and beauty,512.19
Fashion accessories,284.193
Electronic accessories,138.1275
Home and lifestyle,216.846
Sports and travel,545.055
Sports and travel,609
Sports and travel,942.9
Health and beauty,950.25
Health and beauty,720.3
Food and beverages,31.9305
Home and lifestyle,491.085
Health and beauty,291.438
Fashion accessories,316.47
Health and beauty,277.788
Home and lifestyle,603.624
Health and beauty,272.664
Fashion accessories,384.468
Sports and travel,254.016
Fashion accessories,786.618
Food and beverages,103.824
Sports and travel,680.148
Food and beverages,484.5225
Electronic accessories,75.7785
Home and lifestyle,263.97
Health and beauty,918.729
Sports and travel,588.357
Food and beverages,362.712
Sports and travel,66.8745
Food and beverages,336.5565
Sports and travel,160.44
Food and beverages,418.95
Health and beauty,357.588
Home and lifestyle,1003.59
Fashion accessories,1039.29
Food and beverages,323.064
Sports and travel,510.972
Health and beauty,367.5525
Food and beverages,420.2625
Electronic accessories,175.14
Electronic accessories,333.207
Food and beverages,166.236
Home and lifestyle,319.788
Food and beverages,186.228
Fashion accessories,165.4485
Food and beverages,465.444
Health and beauty,273.42
Fashion accessories,472.311
Food and beverages,323.148
Sports and travel,162.75
Health and beauty,288.204
Sports and travel,90.699
Food and beverages,56.952
Home and lifestyle,793.716
Home and lifestyle,195.174
Home and lifestyle,77.7735
Home and lifestyle,293.202
Home and lifestyle,242.676
Fashion accessories,154.392
Food and beverages,829.71
Home and lifestyle,107.31
Electronic accessories,171.7275
Fashion accessories,78.0045
Health and beauty,91.77
Home and lifestyle,26.5545
Health and beauty,174.3
Food and beverages,374.7975
Sports and travel,120.645
Electronic accessories,241.458
Electronic accessories,451.3635
Health and beauty,271.95
Home and lifestyle,93.2925
Health and beauty,217.6335
Electronic accessories,629.8425
Home and lifestyle,299.565
Fashion accessories,95.6655
Electronic accessories,942.4485
Electronic accessories,247.8735
Food and beverages,881.307
Home and lifestyle,484.89
Sports and travel,146.223
Sports and travel,217.6335
Home and lifestyle,19.194
Sports and travel,130.0425
Electronic accessories,298.116
Fashion accessories,796.908
Food and beverages,180.621
Electronic accessories,285.705
Food and beverages,456.288
Electronic accessories,62.0025
Fashion accessories,13.167
Food and beverages,90.825
Sports and travel,183.036
Health and beauty,655.5465
Electronic accessories,155.652
Electronic accessories,571.41
Home and lifestyle,532.728
Fashion accessories,170.877
Electronic accessories,33.3585
Health and beauty,794.6505
Fashion accessories,310.044
Health and beauty,545.37
Sports and travel,195.594
Health and beauty,91.4025
Fashion accessories,232.155
Electronic accessories,69.405
Fashion accessories,94.1745
Food and beverages,235.683
Health and beauty,125.517
Fashion accessories,195.72
Home and lifestyle,263.13
Home and lifestyle,788.508
Home and lifestyle,399.756
Electronic accessories,256.41
Fashion accessories,94.185
Electronic accessories,326.424
Food and beverages,536.991
Food and beverages,439.8975
Fashion accessories,369.495
Sports and travel,30.219
Home and lifestyle,99.75
Home and lifestyle,494.76
Fashion accessories,137.004
Electronic accessories,69.6675
Home and lifestyle,163.233
Electronic accessories,135.45
Electronic accessories,276.948
Electronic accessories,709.317
Fashion accessories,69.09
Fashion accessories,160.86
Sports and travel,233.52
Sports and travel,57.1725
Sports and travel,723.24
Home and lifestyle,148.974
Food and beverages,783.3
Home and lifestyle,297.108
Home and lifestyle,373.17
Sports and travel,354.0075
Health and beauty,44.352
Home and lifestyle,203.553
Home and lifestyle,25.263
Health and beauty,628.173
Fashion accessories,352.5795
Home and lifestyle,229.11
Fashion accessories,400.764
Fashion accessories,745.395
Sports and travel,462.21
Home and lifestyle,587.664
Home and lifestyle,38.85
Sports and travel,16.107
Health and beauty,628.929
Health and beauty,200.214
Health and beauty,350.07
Home and lifestyle,78.603
Sports and travel,224.4375
Food and beverages,356.5485
Home and lifestyle,697.368
Electronic accessories,423.15
Electronic accessories,204.6975
Electronic accessories,65.604
Food and beverages,76.356
Health and beauty,190.155
Electronic accessories,272.58
Electronic accessories,121.128
Home and lifestyle,493.794
Home and lifestyle,252.042
Home and lifestyle,93.0405
Fashion accessories,209.622
Health and beauty,40.9605
Food and beverages,51.0405
Electronic accessories,214.998
Electronic accessories,125.664
Electronic accessories,530.67
Sports and travel,295.6905
Home and lifestyle,745.836
Electronic accessories,83.412
Fashion accessories,172.011
Sports and travel,503.559
Fashion accessories,145.593
Food and beverages,74.7075
Health and beauty,146.9475
Electronic accessories,820.365
Food and beverages,208.677
Food and beverages,66.402
Electronic accessories,392.6475
Health and beauty,218.0745
Health and beauty,185.094
Food and beverages,216.6885
Health and beauty,41.391
Health and beauty,96.138
Fashion accessories,324.2925
Home and lifestyle,135.576
Sports and travel,410.508
Food and beverages,523.845
Food and beverages,395.892
Health and beauty,214.746
Electronic accessories,152.712
Home and lifestyle,208.089
Food and beverages,103.635
Fashion accessories,404.355
Food and beverages,49.308
Sports and travel,77.175
Electronic accessories,149.3625
Fashion accessories,721.98
Sports and travel,365.085
Electronic accessories,150.0975
Food and beverages,404.649
Electronic accessories,151.4835
Health and beauty,411.3795
Health and beauty,565.215
Food and beverages,509.4075
Sports and travel,140.6475
Fashion accessories,736.4385
Electronic accessories,75.5475
Home and lifestyle,749.7
Electronic accessories,191.247
Health and beauty,141.75
Fashion accessories,1042.65
Electronic accessories,379.9215
Fashion accessories,402.2655
Home and lifestyle,255.15
Electronic accessories,31.752
Food and beverages,374.388
Fashion accessories,394.275
Sports and travel,1002.12
Electronic accessories,86.625
Sports and travel,78.7185
Food and beverages,680.064
Food and beverages,793.548
Food and beverages,209.559
Home and lifestyle,461.286
Food and beverages,173.208
Fashion accessories,343.056
Electronic accessories,484.974
Home and lifestyle,276.948
Sports and travel,150.78
Electronic accessories,203.175
Electronic accessories,193.011
Fashion accessories,128.016
Home and lifestyle,441.693
Fashion accessories,265.104
Home and lifestyle,352.2225
Fashion accessories,507.675
Home and lifestyle,334.341
Sports and travel,701.8515
Fashion accessories,407.316
Electronic accessories,99.33
Sports and travel,345.786
Electronic accessories,55.881
Food and beverages,523.3725
Food and beverages,314.538
Food and beverages,214.935
Sports and travel,79.611
Food and beverages,294.651
Health and beauty,339.36
Fashion accessories,510.9615
Food and beverages,133.917
Fashion accessories,253.512
Fashion accessories,398.475
Electronic accessories,80.661
Sports and travel,548.73
Health and beauty,83.727
Health and beauty,406.875
Food and beverages,284.9175
Home and lifestyle,128.4255
Health and beauty,258.678
Electronic accessories,181.818
Food and beverages,248.409
Home and lifestyle,194.124
Home and lifestyle,14.679
Fashion accessories,208.6875
Fashion accessories,718.7565
Sports and travel,282.492
Food and beverages,72.3975
Fashion accessories,288.582
Home and lifestyle,237.426
Fashion accessories,125.055
Health and beauty,359.205
Sports and travel,45.927
Health and beauty,110.0925
Sports and travel,81.396
Home and lifestyle,427.812
Health and beauty,100.9155
Home and lifestyle,190.596
Health and beauty,85.5855
Health and beauty,120.162
Electronic accessories,185.367
Food and beverages,121.59
Electronic accessories,264.7575
Fashion accessories,1020.705
Fashion accessories,213.528
Fashion accessories,17.094
Fashion accessories,383.7645
Health and beauty,390.7995
Food and beverages,65.7405
Sports and travel,353.1675
Home and lifestyle,951.825
Fashion accessories,145.068
Food and beverages,90.867
Electronic accessories,147.798
Fashion accessories,702.219
Fashion accessories,49.812
Sports and travel,937.818
Sports and travel,348.306
Home and lifestyle,214.137
Food and beverages,71.568
Electronic accessories,343.224
Food and beverages,91.56
Sports and travel,742.812
Home and lifestyle,843.0345
Fashion accessories,13.419
Sports and travel,140.385
Health and beauty,20.1075
Food and beverages,290.43
Fashion accessories,144.081
Health and beauty,28.4235
Sports and travel,41.076
Electronic accessories,470.673
Electronic accessories,138.663
Food and beverages,333.9525
Health and beauty,26.25
Electronic accessories,87.234
Fashion accessories,155.19
Food and beverages,731.43
Electronic accessories,833.595
Electronic accessories,488.985
Food and beverages,37.6845
Food and beverages,212.73
Food and beverages,767.025
Sports and travel,310.59
Food and beverages,23.751
Food and beverages,269.535
Sports and travel,572.775
Health and beauty,273.0525
Sports and travel,233.226
Food and beverages,22.659
Electronic accessories,103.782
Home and lifestyle,527.751
Sports and travel,168.21
Fashion accessories,452.865
Health and beauty,609.588
Electronic accessories,338.31
Health and beauty,205.317
Sports and travel,174.615
Electronic accessories,353.094
Sports and travel,360.885
Electronic accessories,40.53
Food and beverages,554.148
Electronic accessories,344.4
Sports and travel,194.985
Home and lifestyle,633.99
Sports and travel,388.29
Sports and travel,207.858
Fashion accessories,431.445
Fashion accessories,156.03
Home and lifestyle,24.108
Home and lifestyle,734.076
Fashion accessories,72.87
Fashion accessories,206.43
Health and beauty,212.688
Home and lifestyle,127.26
Fashion accessories,209.769
Sports and travel,637.728
Electronic accessories,132.762
Food and beverages,568.512
Sports and travel,103.0365
Sports and travel,432.768
Sports and travel,77.6685
Fashion accessories,33.495
Home and lifestyle,145.74
Sports and travel,195.951
Sports and travel,92.8725
Electronic accessories,203.112
Sports and travel,152.775
Food and beverages,529.515
Health and beauty,321.7725
Home and lifestyle,100.485
Sports and travel,666.939
Home and lifestyle,225.2775
Fashion accessories,398.958
Electronic accessories,731.6925
Sports and travel,429.1665
Fashion accessories,54.0435
Health and beauty,288.015
Home and lifestyle,206.7975
Home and lifestyle,72.933
Sports and travel,377.58
Electronic accessories,143.9865
Home and lifestyle,523.971
Home and lifestyle,235.872
Health and beauty,132.027
Food and beverages,514.773
Sports and travel,479.9025
Fashion accessories,164.682
Fashion accessories,125.706
Food and beverages,570.78
Sports and travel,926.9505
Health and beauty,160.209
Fashion accessories,728.112
Electronic accessories,240.975
Food and beverages,154.1295
Home and lifestyle,148.68
Home and lifestyle,122.5245
Fashion accessories,77.658
Home and lifestyle,102.837
Fashion accessories,306.81
Food and beverages,551.124
Home and lifestyle,96.642
Health and beauty,79.674
Sports and travel,84.756
Electronic accessories,118.251
Food and beverages,74.76
Home and lifestyle,163.002
Fashion accessories,308.91
Sports and travel,575.9775
Sports and travel,270.585
Electronic accessories,416.178
Fashion accessories,180.4005
Fashion accessories,513.2295
Health and beauty,550.368
Electronic accessories,139.923
Electronic accessories,142.002
Home and lifestyle,118.062
Fashion accessories,151.284
Food and beverages,1034.46
Food and beverages,262.458
Home and lifestyle,228.123
Electronic accessories,203.931
Food and beverages,936.6
Electronic accessories,356.328
Electronic accessories,469.413
Fashion accessories,208.425
Food and beverages,852.705
Sports and travel,517.965
Fashion accessories,621.243
Fashion accessories,586.971
Sports and travel,543.753
Home and lifestyle,430.71
Sports and travel,280.035
Food and beverages,74.4555
Food and beverages,152.019
Sports and travel,451.0275
Fashion accessories,597.6285
Food and beverages,253.26
Food and beverages,133.434
Health and beauty,269.934
Health and beauty,145.971
Food and beverages,85.743
Health and beauty,326.256
Fashion accessories,195.258
Fashion accessories,75.936
Sports and travel,198.639
Health and beauty,217.182
Food and beverages,164.871
Sports and travel,226.065
Fashion accessories,625.905
Health and beauty,76.755
Health and beauty,293.139
Home and lifestyle,178.164
Sports and travel,47.859
Sports and travel,236.88
Sports and travel,304.92
Health and beauty,46.683
Food and beverages,164.43
Sports and travel,440.937
Fashion accessories,193.4625
Home and lifestyle,147.672
Electronic accessories,87.234
Fashion accessories,68.2395
Food and beverages,814.38
Sports and travel,343.413
Fashion accessories,381.3915
Home and lifestyle,133.35
Fashion accessories,394.3275
Food and beverages,209.118
Fashion accessories,32.1405
Food and beverages,121.569
Electronic accessories,30.408
Food and beverages,935.2665
Fashion accessories,293.643
Sports and travel,84.9765
Food and beverages,708.225
Sports and travel,365.904
Sports and travel,457.38
Electronic accessories,461.5275
Food and beverages,620.739
Fashion accessories,273.798
Food and beverages,225.792
Food and beverages,96.1905
Home and lifestyle,695.2365
Fashion accessories,874.125
Fashion accessories,95.9175
Food and beverages,165.648
Sports and travel,127.827
Health and beauty,867.09
Home and lifestyle,167.895
Fashion accessories,12.6945
Sports and travel,673.995
Electronic accessories,246.6765
Food and beverages,175.917
Home and lifestyle,314.055
Food and beverages,251.7165
Health and beauty,697.935
Health and beauty,212.7825
Electronic accessories,48.51
Food and beverages,92.5575
Fashion accessories,165.123
Food and beverages,311.1885
Electronic accessories,743.82
Electronic accessories,116.907
Food and beverages,609.168
Electronic accessories,63.2625
Home and lifestyle,182.952
Health and beauty,442.323
Fashion accessories,35.3115
Sports and travel,32.529
Electronic accessories,259.77
Electronic accessories,397.215
Health and beauty,351.603
Home and lifestyle,764.19
Sports and travel,352.674
Fashion accessories,252.756
Electronic accessories,49.4235
Electronic accessories,104.6745
Fashion accessories,277.6725
Sports and travel,146.6325
Fashion accessories,58.2225
Sports and travel,135.3555
Sports and travel,125.979
Fashion accessories,370.125
Food and beverages,914.55
Sports and travel,207.48
Fashion accessories,204.246
Food and beverages,181.881
Health and beauty,75.474
Health and beauty,300.573
Sports and travel,85.302
Fashion accessories,588.42
Food and beverages,196.14
Health and beauty,231.2415
Health and beauty,282.576
Electronic accessories,477.54
Fashion accessories,175.917
Sports and travel,470.988
Food and beverages,308.574
Health and beauty,618.975
Food and beverages,305.55
Electronic accessories,41.454
Sports and travel,36.5505
Fashion accessories,310.716
Fashion accessories,45.108
Sports and travel,145.404
Home and lifestyle,103.11
Sports and travel,136.143
Home and lifestyle,667.38
Sports and travel,153.048
Food and beverages,211.365
Sports and travel,663.2955
Food and beverages,404.544
Health and beauty,510.615
Fashion accessories,539.343
Food and beverages,497.07
Home and lifestyle,458.6925
Sports and travel,113.568
Home and lifestyle,261.198
Electronic accessories,657.531
Home and lifestyle,1023.75
Fashion accessories,507.444
Food and beverages,101.808
Fashion accessories,207.585
Health and beauty,760.4415
Home and lifestyle,835.2855
Health and beauty,527.5095
Electronic accessories,180.6
Food and beverages,72.429
Fashion accessories,131.208
Sports and travel,80.955
Food and beverages,507.906
Home and lifestyle,317.226
Electronic accessories,733.6035
Health and beauty,130.8825
Fashion accessories,829.08
Health and beauty,187.32
Fashion accessories,525.231
Electronic accessories,37.611
Fashion accessories,142.947
Fashion accessories,110.124
Fashion accessories,187.866
Sports and travel,856.4535
Home and lifestyle,138.978
Food and beverages,270.2595
Food and beverages,98.028
Health and beauty,239.4
Home and lifestyle,175.0455
Sports and travel,732.27
Fashion accessories,408.492
Home and lifestyle,383.523
Fashion accessories,93.744
Health and beauty,176.4
Fashion accessories,20.685
Electronic accessories,557.718
Food and beverages,56.406
Health and beauty,860.475
Home and lifestyle,596.82
Electronic accessories,616.98
Electronic accessories,769.104
Home and lifestyle,887.922
Home and lifestyle,408.7335
Food and beverages,89.0715
Sports and travel,150.423
Home and lifestyle,79.149
Sports and travel,266.028
Food and beverages,40.341
Fashion accessories,684.915
Home and lifestyle,55.2825
Home and lifestyle,116.1405
Health and beauty,597.0405
Fashion accessories,93.744
Food and beverages,143.22
Electronic accessories,182.91
Home and lifestyle,384.72
Fashion accessories,267.3405
Fashion accessories,817.236
Electronic accessories,300.216
Home and lifestyle,608.076
Food and beverages,197.925
Food and beverages,232.638
Food and beverages,810.6
Electronic accessories,757.365
Fashion accessories,536.592
Health and beauty,56.1225
Health and beauty,233.1
Home and lifestyle,801.864
Fashion accessories,239.589
Sports and travel,86.247
Electronic accessories,401.688
Home and lifestyle,72.009
Sports and travel,401.268
Health and beauty,631.1445
Sports and travel,499.7265
Food and beverages,55.041
Food and beverages,137.865
Food and beverages,151.515
Health and beauty,480.0285
Sports and travel,98.049
Sports and travel,132.5625
Electronic accessories,830.3715
Health and beauty,183.12
Sports and travel,397.992
Fashion accessories,32.151
Home and lifestyle,369.684
Health and beauty,53.34
Electronic accessories,548.163
Electronic accessories,603.876
Health and beauty,57.6975
Health and beauty,190.4805
Sports and travel,432.9885
Fashion accessories,48.7305
Health and beauty,287.91
Home and lifestyle,1022.385
Electronic accessories,680.61
Electronic accessories,97.881
Fashion accessories,57.078
Home and lifestyle,63.9135
Sports and travel,257.145
Health and beauty,97.419
Home and lifestyle,455.1225
Sports and travel,144.963
Electronic accessories,253.68
Fashion accessories,495.3165
Fashion accessories,462.672
Electronic accessories,714.3255
Home and lifestyle,325.374
Sports and travel,195.678
Electronic accessories,210.966
Health and beauty,18.6375
Fashion accessories,652.89
Health and beauty,90.3
Electronic accessories,422.73
Sports and travel,341.0925
Electronic accessories,99.9075
Electronic accessories,408.408
Food and beverages,446.964
Fashion accessories,333.984
Food and beverages,284.592
Health and beauty,403.872
Food and beverages,247.59
Electronic accessories,222.138
Home and lifestyle,100.128
Sports and travel,10.6785
Health and beauty,216.4365
Sports and travel,441.588
Sports and travel,92.442
Health and beauty,681.4395
Fashion accessories,130.032
Electronic accessories,681.975
Electronic accessories,779.31
Electronic accessories,88.704
Health and beauty,262.794
Sports and travel,99.54
Health and beauty,95.865
Home and lifestyle,299.3655
Fashion accessories,54.999
Fashion accessories,202.335
Sports and travel,281.169
Electronic accessories,586.635
Sports and travel,184.086
Fashion accessories,163.611
Electronic accessories,63.315
Sports and travel,82.887
Food and beverages,31.227
Fashion accessories,22.386
Electronic accessories,295.407
Electronic accessories,76.923
Sports and travel,23.499
Food and beverages,688.716
Fashion accessories,624.33
Fashion accessories,77.805
Fashion accessories,206.808
Health and beauty,390.9465
Electronic accessories,554.295
Health and beauty,503.7375
Fashion accessories,345.0195
Food and beverages,177.408
Home and lifestyle,118.902
Health and beauty,362.817
Food and beverages,450.1035
Home and lifestyle,90.5835
Sports and travel,26.796
Home and lifestyle,106.596
Home and lifestyle,375.3645
Electronic accessories,250.7085
Health and beauty,106.5015
Sports and travel,760.452
Health and beauty,131.922
Food and beverages,76.5765
Sports and travel,271.278
Food and beverages,182.427
Fashion accessories,59.325
Electronic accessories,225.015
Sports and travel,561.078
Home and lifestyle,97.818
Home and lifestyle,548.184
Fashion accessories,54.9675
Electronic accessories,41.7375
Electronic accessories,756.168
Electronic accessories,101.64
Food and beverages,348.705
Fashion accessories,85.512
Sports and travel,335.895
Home and lifestyle,216.846
Food and beverages,175.014
Sports and travel,335.013
Food and beverages,92.295
Electronic accessories,771.435
Fashion accessories,102.396
Sports and travel,807.66
Health and beauty,439.215
Electronic accessories,486.444
Fashion accessories,485.5725
Electronic accessories,148.995
Electronic accessories,317.835
Health and beauty,832.944
Fashion accessories,446.439
Food and beverages,297.801
Health and beauty,629.16
Food and beverages,331.128
Electronic accessories,423.738
Home and lifestyle,193.074
Health and beauty,145.5825
Food and beverages,84.7455
Health and beauty,122.472
Home and lifestyle,329.196
Health and beauty,888.405
Health and beauty,435.12
Food and beverages,167.034
Home and lifestyle,514.605
Food and beverages,91.8225
Electronic accessories,235.746
Home and lifestyle,782.208
Fashion accessories,431.256
Food and beverages,313.74
Electronic accessories,223.587
Sports and travel,44.9925
Fashion accessories,397.614
Home and lifestyle,217.2555
Electronic accessories,82.719
Home and lifestyle,338.2155
Home and lifestyle,103.131
Home and lifestyle,26.733
Sports and travel,611.079
Sports and travel,221.886
Electronic accessories,57.876
Sports and travel,92.7255
Health and beauty,374.409
Electronic accessories,833.9625
Sports and travel,53.151
Home and lifestyle,629.496
Fashion accessories,175.035
Food and beverages,781.62
Health and beauty,470.988
Home and lifestyle,397.845
Home and lifestyle,270.018
Health and beauty,579.8415
Sports and travel,469.77
Health and beauty,290.0835
Food and beverages,360.927
Food and beverages,279.384
Fashion accessories,943.299
Home and lifestyle,479.64
Health and beauty,266.6475
Health and beauty,74.088
Electronic accessories,690.018
Electronic accessories,176.925
Fashion accessories,56.469
Home and lifestyle,188.0025
Food and beverages,222.012
Health and beauty,125.7165
Home and lifestyle,68.985
Food and beverages,263.97
Food and beverages,88.368
Home and lifestyle,415.233
Fashion accessories,312.8895
Food and beverages,477.1305
Electronic accessories,289.926
Home and lifestyle,165.9
Food and beverages,932.337
Fashion accessories,96.579
Electronic accessories,43.869
Fashion accessories,16.275
Electronic accessories,304.983
Food and beverages,69.993
Electronic accessories,80.367
Home and lifestyle,314.685
Home and lifestyle,255.1815
Health and beauty,49.77
Electronic accessories,181.0725
Food and beverages,888.615
Home and lifestyle,271.2885
Electronic accessories,640.038
Home and lifestyle,252.252
Fashion accessories,180.873
Fashion accessories,104.832
Food and beverages,313.572
Food and beverages,167.58
Electronic accessories,26.7225
Food and beverages,71.1585
Food and beverages,250.278
Health and beauty,244.23
Sports and travel,921.186
Health and beauty,734.706
Electronic accessories,708.3195
Fashion accessories,334.4775
Health and beauty,30.996
Health and beauty,520.8
Electronic accessories,864.57
Health and beauty,633.108
Food and beverages,296.94
Sports and travel,804.3
Electronic accessories,121.863
Fashion accessories,183.645
Electronic accessories,63.9975
Health and beauty,42.3675
Home and lifestyle,1022.49
Food and beverages,33.432
Home and lifestyle,69.111
Fashion accessories,649.299
